Title,Location,Price,Area,Number of rooms
                        Apartment Badhuisweg                            ,            2587 CC Den Haag (Rijslag)        ,"                €1,100 per month            ",41 m²,2 rooms
                        Apartment Hemsterhuisstraat                            ,            2513 RC Den Haag (Zeeheldenkwartier)        ,"                €2,295 per month            ",120 m²,4 rooms
                        Apartment Maaswijkstraat                            ,            2586 CD Den Haag (Scheveningen Badplaats)        ,                €775 per month            ,35 m²,1 room
                        Apartment Elandstraat                            ,            2513 GS Den Haag (Zeeheldenkwartier)        ,                €997 per month            ,50 m²,2 rooms
                        Apartment Sportlaan                            ,            2566 LD Den Haag (Bomenbuurt)        ,"                €1,695 per month            ",60 m²,1 room
                        Apartment Prins Willem-Alexanderweg 123                            ,            2595 BT Den Haag (Bezuidenhout-West)        ,"                €2,000 per month            ",100 m²,3 rooms
                        Apartment Oude Molstraat                            ,            2513 BB Den Haag (Kortenbos)        ,"                €2,850 per month            ",142 m²,3 rooms
                        Apartment Frederikstraat                            ,            2514 LL Den Haag (Willemspark)        ,"                €1,450 per month            ",80 m²,3 rooms
                        Apartment Waldorpstraat 570 C                            ,            2521 CK Den Haag (Laakhaven-West)        ,"                €1,250 per month            ",78 m²,3 rooms
                        Apartment Waldorpstraat 305                            ,            2521 CJ Den Haag (Laakhaven-West)        ,                €650 per month            ,29 m²,1 room
                        Apartment Laan van Meerdervoort 1309                            ,            2555 BG Den Haag (Bohemen en Meer en Bos)        ,"                €1,650 per month            ",91 m²,3 rooms
                        Apartment Kazernestraat                            ,            2514 CS Den Haag (Voorhout)        ,"                €1,655 per month            ",160 m²,5 rooms
                        Apartment Jan ten Brinkstraat 108                            ,            2522 JG Den Haag (Laakkwartier-Oost)        ,                €815 per month            ,62 m²,2 rooms
                        Apartment Wenckebachstraat                            ,            2522 CK Den Haag (Noordpolderbuurt)        ,"                €1,300 per month            ",66 m²,3 rooms
                        Apartment Loenensestraat                            ,            2574 RH Den Haag (Rustenburg)        ,"                €1,300 per month            ",74 m²,3 rooms
                        Studio Valkenbosplein 23                            ,            2563 CC Den Haag (Valkenboskwartier)        ,"                €1,150 per month            ",58 m²,1 room
                        Apartment Laakkade                            ,            2521 XK Den Haag (Laakkwartier-Oost)        ,"                €1,175 per month            ",68 m²,3 rooms
                        Apartment Javastraat 47                            ,            2585 AE Den Haag (Willemspark)        ,"                €1,325 per month            ",60 m²,2 rooms
                        House Nassaulaan                            ,            2514 JS Den Haag (Willemspark)        ,"                €6,900 per month            ",363 m²,10 rooms
                        Apartment Beeklaan                            ,            2562 AE Den Haag (Rond de Energiecentrale)        ,"                €2,300 per month            ",155 m²,6 rooms
                        Apartment Bezuidenhoutseweg 65 110                            ,            2594 AC Den Haag (Rivierenbuurt-Noord)        ,"                €3,000 per month            ",119 m²,4 rooms
                        Apartment Mozartlaan 273                            ,            2555 KA Den Haag (Waldeck-Noord)        ,"                €1,400 per month            ",98 m²,4 rooms
                        Apartment IJsselsteinstraat 67                            ,            2546 XC Den Haag (Leyenburg)        ,"                €1,050 per month            ",70 m²,4 rooms
                        Apartment Valkenboslaan 170 A 1                            ,            2563 CS Den Haag (Valkenboskwartier)        ,"                €1,475 per month            ",80 m²,2 rooms
                        Apartment Barentszstraat 38 4                            ,            2518 XH Den Haag (Zeeheldenkwartier)        ,"                €1,195 per month            ",35 m²,2 rooms
                        Apartment Van Egmondstraat                            ,            2581 XN Den Haag (Geuzenkwartier)        ,"                €2,080 per month            ",114 m²,7 rooms
                        Apartment Roggekamp 305                            ,            2592 VT Den Haag (Kampen)        ,"                €1,085 per month            ",80 m²,3 rooms
                        Apartment Antheunisstraat 213                            ,            2522 ZD Den Haag (Laakkwartier-Oost)        ,"                €1,150 per month            ",60 m²,3 rooms
                        Apartment Pahudstraat 98                            ,            2593 TJ Den Haag (Bezuidenhout-Oost)        ,"                €1,600 per month            ",75 m²,3 rooms
                        Apartment Dibbetsstraat                            ,            2518 PN Den Haag (Rond de Energiecentrale)        ,"                €1,550 per month            ",87 m²,3 rooms
